"","word","freq"
"一人暮らし","一人暮らし",1169
"月曜日から夜更かし　ボンビーガール　東京に住みたい　部屋探し　賃貸　引越し　一人暮らし","月曜日から夜更かし　ボンビーガール　東京に住みたい　部屋探し　賃貸　引越し　一人暮らし",422
"引っ越し","引っ越し",166
"賃貸","賃貸",146
"不動産","不動産",124
"転職","転職",109
"お部屋探し","お部屋探し",106
"マンション","マンション",101
"romapriinfo","romapriinfo",83
"高収入","高収入",83
"都内","都内",82
"マンション寮あります","マンション寮あります",74
"お気軽にご相談ください","お気軽にご相談ください",72
"アパート","アパート",71
"家探し","家探し",71
"寮","寮",68
"求人","求人",68
"東京","東京",66
"大阪","大阪",63
"料理","料理",62
"自炊","自炊",62
"おうちごはん","おうちごはん",59
"京都","京都",56
"兵庫","兵庫",56
"滋賀","滋賀",56
"関西","関西",56
"…","…",48
"アメブロを更新しました","アメブロを更新しました",48
"ー","ー",48
"仲間","仲間",48
"日向野祥","日向野祥",48
"“トイレの鍵が壊れて閉じ込められた…！119番通報して救急隊員と警察官に救助された話に、体験談と対策が集まる「スマホ持って入る」「ドアは閉めない！」","“トイレの鍵が壊れて閉じ込められた…！119番通報して救急隊員と警察官に救助された話に、体験談と対策が集まる「スマホ持って入る」「ドアは閉めない！」",47
"警察「一人暮らしの方はスマホを常に持っているといいですよ」←これ大事！","警察「一人暮らしの方はスマホを常に持っているといいですよ」←これ大事！",47
"shohigano1991","shohigano1991",47
"togetterjp","togetterjp",46
"togette…","togette…",46
"三重","三重",45
"ロマプリ","ロマプリ",44
"👜","👜",39
"奈良","奈良",39
"初期費用無料","初期費用無料",35
"敷金","敷金",34
"就職","就職",33
"仲介手数料無料","仲介手数料無料",31
"一人暮らし…","一人暮らし…",30
"インテリア","インテリア",30
"勉強","勉強",29
"社会人","社会人",27
"防犯","防犯",27
"「とある科学を応用した料理上達レシピ集」","「とある科学を応用した料理上達レシピ集」",27
"夕飯","夕飯",27
"神奈川","神奈川",25
"＃一人暮らし","＃一人暮らし",24
"勉強垢","勉強垢",24
"節約","節約",24
"家具","家具",24
"学生","学生",23
"和歌山…","和歌山…",23
"料理好きな人と繋がりたい","料理好きな人と繋がりたい",22
"中央線・丸ノ内線での賃貸物件のお部屋探しはお任せください。中野区や杉並区での一人暮らし用学生マンション・アパート、帝京平成大学生のお部屋探しもヘヤヲタまで！高円寺駅から徒歩1分の店舗です。帝京平成大学","中央線・丸ノ内線での賃貸物件のお部屋探しはお任せください。中野区や杉並区での一人暮らし用学生マンション・アパート、帝京平成大学生のお部屋探しもヘヤヲタまで！高円寺駅から徒歩1分の店舗です。帝京平成大学",22
"仕事探し","仕事探し",22
"仕事探してます","仕事探してます",22
"仕事紹介してください","仕事紹介してください",22
"仕事辞めたい","仕事辞めたい",22
"都内で仕事したい人いませんか！","都内で仕事したい人いませんか！",22
"可愛いアイボリーカラーはもちろん、この秋にもピッタリのワインレッド🍷とブラウン🧸もオススメ💕","可愛いアイボリーカラーはもちろん、この秋にもピッタリのワインレッド🍷とブラウン🧸もオススメ💕",21
"大人気のコンパクトカウチソファ💘💘","大人気のコンパクトカウチソファ💘💘",21
"鮮やかなピンクはそれだけでプリンセス空間を演出してくれます🎀","鮮やかなピンクはそれだけでプリンセス空間を演出してくれます🎀",21
"👜…","👜…",21
"　一人暮らし　賃貸　","　一人暮らし　賃貸　",21
