"Lng","Lat","tradeTime","activeDays","followers","totalPrice","price","square","livingRoom","drawingRoom","kitchen","bathRoom","floor","buildingType","constructionTime","renovationCondition","buildingStructure","ladderRatio","elevator","fiveYearsProperty","subway","district","communityAverage"
116.475489,40.01952,"2016-08-09",1464,106,415,31680,131,2,1,1,1,26,"tower","2005","Simplicity","steel-concrete composite",0.217,"Elevator","No five years property","Subway",7,56021
116.453917,39.881534,"2016-07-28",903,126,575,43436,132.38,2,2,1,2,22,"tower","2004","hardcover","steel-concrete composite",0.667,"Elevator","Five years property","No subway",7,71539
116.561978,39.877145,"2016-12-11",1271,48,1030,52021,198,3,2,1,3,4,"plate","2005","Simplicity","steel-concrete composite",0.5,"Elevator","No five years property","No subway",7,48160
116.43801,40.076114,"2016-09-30",965,138,297.5,22202,134,3,1,1,1,21,"tower","2008","other","steel-concrete composite",0.273,"Elevator","No five years property","No subway",6,51238
116.428392,39.886229,"2016-08-28",927,286,392,48396,81,2,1,1,1,6,"plate","1960","rough","mixed",0.333,"No elevator","Five years property","Subway",1,62588
116.46628,39.991363,"2016-07-22",861,57,275.6,52000,53,1,0,1,1,8,"plate","2005","Simplicity","steel-concrete composite",0.333,"Elevator","Five years property","No subway",7,67738
116.482586,39.891991,"2016-07-14",851,167,275,37672,73,2,1,1,1,6,"plate","1997","hardcover","mixed",0.5,"No elevator","No five years property","No subway",7,50112
116.453917,39.881534,"2016-09-07",904,138,800,49521,161.55,3,2,1,2,22,"tower","2004","hardcover","steel-concrete composite",0.667,"Elevator","Five years property","No subway",7,71539
116.555729,40.162058,"2016-09-04",873,218,134,27917,48,1,0,1,1,10,"combination of plate and tower","2009","other","mixed",0.333,"No elevator","No five years property","No subway",13,44235
116.453086,39.898397,"2016-09-05",865,134,380,55883,68,1,0,0,0,23,"tower","2009","hardcover","steel-concrete composite",0.308,"Elevator","Five years property","Subway",1,78590
116.555729,40.162058,"2016-08-03",773,74,126,26250,48,1,1,1,1,11,"combination of plate and tower","2009","Simplicity","mixed",0.333,"No elevator","Five years property","No subway",13,44235
116.399018,39.978141,"2016-08-17",784,65,896,91710,97.7,3,1,1,1,6,"plate","1991","Simplicity","mixed",0.333,"No elevator","Five years property","Subway",10,123002
116.296286,39.870107,"2016-06-17",706,90,285,35568,80.13,1,1,1,1,24,"tower","2001","hardcover","steel-concrete composite",0.222,"Elevator","No five years property","Subway",2,53588
116.32922,39.892447,"2016-09-20",800,76,360,60607,59.4,2,1,1,1,26,"tower","1990","Simplicity","steel-concrete composite",0.25,"Elevator","No five years property","Subway",2,59395
116.405549,39.975629,"2016-07-22",739,39,700,39115,178.96,4,1,1,1,23,"tower","1997","Simplicity","steel-concrete composite",0.333,"Elevator","Five years property","Subway",7,53730
116.284755,39.93453,"2016-09-17",790,6,212,32981,64.28,1,0,1,1,19,"tower","2009","Simplicity","steel-concrete composite",0.111,"Elevator","No five years property","Subway",8,70141
116.603852,39.893276,"2016-06-20",691,130,336,30189,111.3,2,1,1,1,6,"plate","2008","hardcover","steel-concrete composite",0.167,"Elevator","Five years property","No subway",7,48859
116.284755,39.93453,"2016-08-23",747,41,174.6,33577,52,1,0,1,1,19,"tower","2009","Simplicity","steel-concrete composite",0.111,"Elevator","No five years property","Subway",8,70141
116.507351,39.934957,"2016-07-15",690,20,1950,63228,308.41,5,2,1,4,18,"plate","2011","hardcover","steel-concrete composite",1,"Elevator","No five years property","Subway",7,101192
116.448302,39.960966,"2016-07-28",697,276,176,29000,60.69,1,1,1,1,25,"tower","2008","hardcover","steel-concrete composite",0.364,"Elevator","Five years property","No subway",7,34966
116.432142,39.902354,"2016-07-26",681,115,520,87176,59.65,1,1,1,1,12,"combination of plate and tower","2005","hardcover","steel-concrete composite",0.5,"Elevator","Five years property","Subway",1,95392
